ACTIVITY;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;IPCC_ACTIVITY;IPCC_SUBACTIVITY;DESCRIPTION
3F31i2;3;F;3;1;i;2;Field burning of agricultural residues. Tubers and roots. Other. Oother non-specified
3F4;3;F;4;;;;Field burning of agricultural residues. Sugar cane
3F5;3;F;5;;;;Field burning of agricultural residues. Other
3G;3;G;;;;;Liming
3G1;3;G;1;;;;Limestone Ca3CO3
3G2;3;G;2;;;;Dolomite CaMg(CO3)2
3H;3;H;;;;;Urea
4;4;;;;;;LAND USE, LAND USE CHANGE AND FORESTRY. CCC
4A;4;A;;;;;Forest Land
4A1;4;A;1;;;;Forest Land remaining Forest land
4A11;4;A;1;1;;;Forest Land remaining Forest land (subclase auxiliar)
4A11(III);4;A;1;1;(III);;Forest Land remaining Forest land (Direct N2O mineralization)
4A11(IV);4;A;1;1;(IV);;Forest Land remaining Forest land (Indirect N2O leaching)
4A11s;4;A;1;1;s;;Forest Land remaining Forest land (Carbon stock change)
4A11(V);4;A;1;1;(V);;Forest Land remaining Forest land (Biomass burning)
4A11(V)c;4;A;1;1;(V);c;Forest Land remaining Forest land (Biomass burning-Controlled)
4A11(V)w;4;A;1;1;(V);w;Forest Land remaining Forest land (Biomass burning-Wild)
4A2;4;A;2;;;;Land converted to Forest land
4A20(III);4;A;2;0;(III);;Land converted to Forest land (Direct N2O mineralization)
4A20(V)w;4;A;2;0;(V);w;Land converted to Forest land (Biomass burning-Wild)
4A21;4;A;2;1;;;Cropland converted to Forest land
4A21(III);4;A;2;1;(III);;Cropland converted to Forest land (Direct N2O mineralization)
4A21(IV);4;A;2;1;(IV);;Cropland converted to Forest land (Indirect N2O leaching)
4A21s;4;A;2;1;s;;Cropland converted to Forest land (Carbon stock change)
4A21(V);4;A;2;1;(V);;Cropland converted to Forest land (Biomass burning)
4A21(V)c;4;A;2;1;(V);c;Cropland converted to Forest land (Biomass burning-Controlled)
4A21(V)w;4;A;2;1;(V);w;Cropland converted to Forest land (Biomass burning-Wild)
4A22;4;A;2;2;;;Grassland converted to Forest land
4A22(III);4;A;2;2;(III);;Grassland converted to Forest land (Direct N2O mineralization)
4A22(IV);4;A;2;2;(IV);;Grassland converted to Forest land (Indirect N2O leaching)
4A22s;4;A;2;2;s;;Grassland converted to Forest land (Carbon stock change)
4A22(V);4;A;2;2;(V);;Grassland converted to Forest land (Biomass burning)
4A22(V)c;4;A;2;2;(V);c;Grassland converted to Forest land (Biomass burning-Controlled)
4A22(V)w;4;A;2;2;(V);w;Grassland converted to Forest land (Biomass burning-Wild)
4A23;4;A;2;3;;;Wetlands converted to Forest land
4A23(III);4;A;2;3;(III);;Wetlands converted to Forest land (Direct N2O mineralization)
4A23(IV);4;A;2;3;(IV);;Wetlands converted to Forest land (Indirect N2O leaching)
4A23s;4;A;2;3;s;;Wetlands converted to Forest land (Carbon stock change)
4A23(V);4;A;2;3;(V);;Wetlands converted to Forest land (Biomass burning)
4A23(V)c;4;A;2;3;(V);c;Wetlands converted to Forest land (Biomass burning-Controlled)
4A23(V)w;4;A;2;3;(V);w;Wetlands converted to Forest land (Biomass burning-Wild)
4A24;4;A;2;4;;;Settlements converted to Forest land
4A24(III);4;A;2;4;(III);;Settlements converted to Forest land (Direct N2O mineralization)
4A24(IV);4;A;2;4;(IV);;Settlements converted to Forest land (Indirect N2O leaching)
4A24s;4;A;2;4;s;;Settlements converted to Forest land (Carbon stock change)
4A24(V);4;A;2;4;(V);;Settlements converted to Forest land (Biomass burning)
4A24(V)c;4;A;2;4;(V);c;Settlements converted to Forest land (Biomass burning-Controlled)
4A24(V)w;4;A;2;4;(V);w;Settlements converted to Forest land (Biomass burning-Wild)
4A25;4;A;2;5;;;Other land converted to Forest land
4A25(III);4;A;2;5;(III);;Other land converted to Forest land (Direct N2O mineralization)
4A25(IV);4;A;2;5;(IV);;Other land converted to Forest land (Indirect N2O leaching)
4A25s;4;A;2;5;s;;Other land converted to Forest land (Carbon stock change)
4A25(V);4;A;2;5;(V);;Other land converted to Forest land (Biomass burning)
4A25(V)c;4;A;2;5;(V);c;Other land converted to Forest land (Biomass burning-Controlled)
4A25(V)w;4;A;2;5;(V);w;Other land converted to Forest land (Biomass burning-Wild)
4B;4;B;;;;;Cropland
4B1;4;B;1;;;;Cropland remaining Cropland
4B11;4;B;1;1;;;Cropland remaining Cropland (subclase auxiliar)
4B11(III);4;B;1;1;(III);;Cropland remaining Cropland (Direct N2O mineralization)
4B11(IV);4;B;1;1;(IV);;Cropland remaining Cropland (Indirect N2O leaching)
4B11s;4;B;1;1;s;;Cropland remaining Cropland (Carbon stock change)
4B11(V);4;B;1;1;(V);;Cropland remaining Cropland (Biomass burning)
4B11(V)c;4;B;1;1;(V);c;Cropland remaining Cropland (Biomass burning-Controlled)
4B11(V)w;4;B;1;1;(V);w;Cropland remaining Cropland (Biomass burning-Wild)
4B2;4;B;2;;;;Land converted to Cropland
4B20(III);4;B;2;0;(III);;Land converted to Cropland (Direct N2O mineralization)
4B20(V)w;4;B;2;0;(V);w;Land converted to Cropland (Biomass burning-Wild)
4B21;4;B;2;1;;;Forest land converted to Cropland
4B21(III);4;B;2;1;(III);;Forest land converted to Cropland (Direct N2O mineralization)
4B21(IV);4;B;2;1;(IV);;Forest land converted to Cropland (Indirect N2O leaching)
4B21s;4;B;2;1;s;;Forest land converted to Cropland (Carbon stock change)
4B21(V);4;B;2;1;(V);;Forest land converted to Cropland (Biomass burning)
4B21(V)c;4;B;2;1;(V);c;Forest land converted to Cropland (Biomass burning-Controlled)
4B21(V)w;4;B;2;1;(V);w;Forest land converted to Cropland (Biomass burning-Wild)
4B22;4;B;2;2;;;Grassland converted to Cropland
4B22(III);4;B;2;2;(III);;Grassland converted to Cropland (Direct N2O mineralization)
4B22(IV);4;B;2;2;(IV);;Grassland converted to Cropland (Indirect N2O leaching)
4B22s;4;B;2;2;s;;Grassland converted to Cropland (Carbon stock change)
4B22(V);4;B;2;2;(V);;Grassland converted to Cropland (Biomass burning)
4B22(V)c;4;B;2;2;(V);c;Grassland converted to Cropland (Biomass burning-Controlled)
4B22(V)w;4;B;2;2;(V);w;Grassland converted to Cropland (Biomass burning-Wild)
4B23;4;B;2;3;;;Wetlands converted to Cropland
4B23(III);4;B;2;3;(III);;Wetlands converted to Cropland (Direct N2O mineralization)
4B23(IV);4;B;2;3;(IV);;Wetlands converted to Cropland (Indirect N2O leaching)
